,Name,Model_Projection_Sum_of_W_SV_HLD,Actual_Sum_of_W_SV_HLD,ADP
6471,Nick Neidert,0.5224593991843848,0,
6472,Cory Abbott,0.5032569606157714,0,
6473,Franklyn Kilome,0.48608369045198624,1,
6474,Kirby Snead,0.48128916628830093,7,
6475,Brooks Kriske,0.47034392574010847,2,
6476,Justin Wilson,0.4668092516470656,17,
6477,Garrett Crochet,0.43067574978087747,15,773.5
6478,Garrett Richards,0.37930012536286534,12,
6479,T.J. Zeuch,0.36452741816158,1,
6480,Jake Cousins,0.3555252333752518,11,
6481,Will Vest,0.35246911209473425,15,
6482,Luis Oviedo,0.3032681258972418,1,
6483,Dusten Knight,0.30181368276657333,0,
6484,Daniel Mengden,0.2869269111314476,1,
6485,Enoli Paredes,0.264874720871018,9,
6486,Mark Appel,0.23130818186177365,0,
6487,Felix Pena,0.2213274078679312,9,
6488,Derek Holland,0.21634312909536496,7,
6489,Tyler Thornburg,0.21614660055846419,1,
6490,Jake Woodford,0.19913435900738746,5,
6491,Domingo Tapia,0.17760465202402392,11,
6492,Spenser Watkins,0.170599982260297,1,
6493,Cody Poteet,0.1480145949839355,1,
6494,Jason Foley,0.14274667598306062,7,
6495,Kirk McCarty,0.11741336787736338,4,
6496,Art Warren,0.11609910127825011,13,
6497,Brandon Workman,0.10983458975619269,16,
6498,Brady Lail,0.0876840547065149,0,
6499,Zack Kelly,0.06588032519258229,2,
6500,Wade Davis,0.06198763306135395,6,
6501,Trevor Megill,0.04472225904680609,9,
6502,Jeremy Jeffress,0.03502173649264122,15,
6503,Ross Detwiler,0.03360354185158092,8,
6504,Victor Gonzalez,0.03254926811402396,25,
6505,Tanner Houck,0.013628186747154533,16,386.2
6506,Junior Fernandez,0.003965461136554424,4,
6507,Adrian Morejon,-0.011048053249035863,12,570.5
6508,Yohan Ramirez,-0.012481704656606876,14,
6509,Jordan Hicks,-0.023325638281838604,14,570.0
6510,Shun Yamaguchi,-0.024733212969361443,3,
6511,Fernando Abad,-0.04065234720523299,2,
6512,Ty Buttrey,-0.07846009161664365,9,
6513,Chris Mazza,-0.07863767961623476,2,
6514,Yacksel Rios,-0.09006588361143282,5,
6515,Matt Gage,-0.11737898062215175,0,
6516,Aaron Fletcher,-0.11998123927497047,1,
6517,Josh James,-0.12099798318283812,5,
6518,David Hess,-0.1578623784345135,4,
6519,Burch Smith,-0.1777412000862924,8,
6520,Tommy Milone,-0.19390615914112824,3,
6521,Riley Smith,-0.20851057868045358,3,
6522,Robert Gsellman,-0.20890878398653606,3,
6523,Manuel Rodriguez,-0.21086595651446,13,721.0
6524,Jimmy Lambert,-0.22809390886025477,11,
6525,Matt Magill,-0.23179107326152676,2,
6526,Kris Bubic,-0.23353992640939475,1,654.5
6527,Andrew Miller,-0.2428007094709071,11,
6528,Sean Poppen,-0.2439759958015298,10,
6529,Jason Alexander,-0.25098861786551546,0,
6530,Cody Ponce,-0.2611459334551947,0,
6531,David Price,-0.2799959489339761,15,
6532,Colin Poche,-0.28153078341373733,34,843.0
6533,Nate Jones,-0.3417035615673079,9,
6534,Steven Wilson,-0.35064872345887804,10,
6535,Caleb Ferguson,-0.3651380533762388,15,"1,006.0"
6536,Alex Claudio,-0.37997070013527284,6,
6537,Gabe Klobosits,-0.3805646838011281,4,
6539,Tommy Hunter,-0.4340842770449987,10,
6538,Hunter Strickland,-0.4340842770449987,10,
6540,Cristian Javier,-0.4511198835638222,8,66.4
6541,Keynan Middleton,-0.4513912831811709,12,
6542,Angel De Jesus,-0.4792009621521592,0,
6543,Paolo Espino,-0.4793825145654618,1,879.0
6544,Wes Benjamin,-0.48842783436145726,2,
6545,Tyler Beede,-0.5115121536444923,5,
6546,Konner Wade,-0.5713636163323564,0,
6547,Austin Brice,-0.5745595052278286,5,
6548,Wily Peralta,-0.5868965585369258,5,
6549,Dauri Moreta,-0.5895718423712925,2,
6550,Jose Urena,-0.5968286484313613,3,
6551,Garrett Hill,-0.6150507807707507,1,
6552,Trevor Williams,-0.6184410539203199,3,713.0
6553,Andre Jackson,-0.6690317826499229,3,
6554,Jackson Kowar,-0.6882117009867489,2,
6555,Trent Thornton,-0.6899889310844339,4,
6556,Huascar Ynoa,-0.7051425823701577,4,685.5
6557,Luis Perdomo,-0.7051425823701577,4,
6558,Max Castillo,-0.705439524411858,0,958.0
6559,Tony Gonsolin,-0.7173669802368153,1,131.8
6560,Corey Oswalt,-0.7227027237778264,1,
6561,Josh A. Smith,-0.7304683793435881,3,
6562,Zack Burdi,-0.755748424780731,1,
6563,Lewis Thorpe,-0.7747846482336981,0,
6564,Ronald Bolanos,-0.7770081355917421,0,
6565,Brandon Waddell,-0.7806123315839563,0,
6566,Paul Campbell,-0.7891503941067194,2,
6567,Carson Fulmer,-0.7910425909880526,1,
6568,Drew Hutchison,-0.8056320853033773,3,763.5
6569,Justus Sheffield,-0.8148995944703111,2,
6570,Marcus Walden,-0.8382065382590479,3,
6571,Jake Faria,-0.8500818013974055,0,
6572,Tony Santillan,-0.8611955418478158,10,
6573,Aaron Ashby,-0.8771558499373387,5,266.8
6574,Gabe Speier,-0.8952410231348468,3,
6575,Miguel Yajure,-0.9592223283556439,2,
6576,Juan Minaya,-0.9787084462880727,10,
6577,Miguel Diaz,-0.9913518091860113,5,
6578,Austin Adams,-0.9924321705397706,15,
6579,Touki Toussaint,-1.0063566694305714,1,
6580,Taylor Widener,-1.0090562438496302,3,
6581,Jimmy Yacabonis,-1.0097899142701119,1,
6582,Jackson Stephens,-1.022946273462803,7,
6583,Andrew Bellatti,-1.0273017037960928,15,
6584,Stefan Crichton,-1.0353103539394468,18,
6585,Josh Taylor,-1.0550010507868774,19,
6586,Ian Gibaut,-1.056053921109785,7,
6587,Caleb Baragar,-1.0651040582672644,18,
6588,Trevor Rosenthal,-1.0772406477852738,13,
6589,Humberto Castellanos,-1.0838216919263302,1,
6590,JP Sears,-1.0841292477409514,1,434.0
6591,Justin Garza,-1.0939246645257608,2,
6592,Danny Coulombe,-1.1127032799662506,5,
6593,Ashton Goudeau,-1.1163773800740715,4,
6594,Ty Blach,-1.1213492859598413,2,
6595,Tayler Saucedo,-1.1294263203837624,1,
6596,Drew Anderson,-1.143370004610403,1,
6597,Casey Lawrence,-1.1532598163350591,0,
6598,Chad Kuhl,-1.15743708158265,6,"1,031.0"
