,Name,Model_Projection_Sum_of_ERA_WHIP,Actual_Sum_of_ERA_WHIP,ADP
10325,Daniel Bard,4.1287990303756965,4.890000000000001,153.4
10228,Cal Quantrill,4.13180040750315,3.4400000000000004,278.6
10035,Tony Watson,4.1390799944468295,4.5600000000000005,
9938,Seth Martinez,4.140333137973154,4.17,
9841,Luke Bard,4.142039273100942,4.13,
9840,Anthony Bass,4.142881779640446,3.83,602.8
9839,Andre Scrubb,4.143036609861426,4.8,
9742,Austin Adams,4.1473607114140725,5.17,
9357,Wandy Peralta,4.1540260995507365,4.31,628.5
8876,Andre Jackson,4.16308149211086,3.4699999999999998,
8875,Ryan Sherriff,4.1641526901067945,4.6,
8778,Nate Pearson,4.165929391293175,3.84,537.5
8585,Diego Castillo,4.171081578549685,4.01,485.6
8584,Wily Peralta,4.172692793114537,4.09,
8583,Nick Vincent,4.1730456361922315,4.2299999999999995,
8102,Jesus Tinoco,4.18693112526177,4.4399999999999995,
8101,Danny Coulombe,4.18919153067636,4.11,
8003,Tyler Cyr,4.193398154051586,3.9000000000000004,
8004,James Kaprielian,4.193398154051586,3.9000000000000004,496.0
8002,Packy Naughton,4.19380845240137,4.35,
8001,Hector Neris,4.194958296027636,4.97,498.3
8000,Seth Lugo,4.197086772938725,4.68,514.7
7903,Mark Leiter Jr.,4.202173275613866,3.9000000000000004,
7902,Tony Santillan,4.202352792457396,5.03,
7805,Daniel Hudson,4.206521078982177,4.71,337.0
7708,Scott Alexander,4.208539350761749,3.59,
7611,Caleb Smith,4.210697092519171,4.39,
7514,Clarke Schmidt,4.212862020182846,4.53,518.3
7513,Chris Martin,4.2130333496260315,4.1,594.0
7512,Dietrich Enns,4.213718940580709,3.8499999999999996,
7511,Tommy Hunter,4.21491562273206,4.0600000000000005,
7510,Hunter Strickland,4.21491562273206,4.0600000000000005,
7509,Adam Ottavino,4.21504676883283,4.7,488.8
7508,Domingo Acevedo,4.215241760064211,4.34,427.6
7219,Jared Koenig,4.219287976977068,5.57,
7218,Jaime Barria,4.220520013141448,4.16,
6641,Michael Fulmer,4.236216142324768,4.3,755.5
6640,Dany Jimenez,4.237221427113831,4.79,549.3
6639,Eli Morgan,4.241708347617002,4.13,717.0
6446,Darren O'Day,4.246207357394922,4.09,
6445,Richard Bleier,4.247313405363541,4.21,
6444,Hector Santiago,4.248666774595869,4.970000000000001,
6443,Drew Anderson,4.2487215338942885,5.02,
6346,Miguel Diaz,4.255562092362844,4.67,
6153,Zach Pop,4.265182665147224,4.87,
6152,Yohan Ramirez,4.266164576935372,5.19,
6055,Jorge Alcala,4.270600354747573,4.51,745.0
5958,Spencer Patton,4.273603185196838,5.01,
5957,Archie Bradley,4.2742555625091425,5.109999999999999,
5956,Trevor Stephan,4.275567741974923,4.83,684.5
5955,Louis Head,4.280003713728586,5.14,
5954,Sam Hentges,4.28032313930531,4.25,825.5
5857,Aroldis Chapman,4.281965952178164,5.01,297.6
5856,Thomas Hatch,4.289252755678507,5.15,
5759,Greg Weissert,4.29151635440408,6.529999999999999,
5758,Joel Payamps,4.293436107674078,4.57,
5757,Jose Quijada,4.295190595715829,5.640000000000001,
5756,Josh Staumont,4.295295746447422,5.17,
5755,Tim Hill,4.297131857074665,4.96,
5562,Aaron Ashby,4.303272977170115,4.83,266.8
5561,Lucas Gilbreath,4.305683343770179,5.08,
5464,Mychal Givens,4.309287677195945,4.75,
5367,Jason Foley,4.310972830240094,5.05,
5366,Tanner Banks,4.3110923052639505,4.1899999999999995,
5173,Taylor Hearn,4.322329448890723,4.83,
5172,Carl Edwards Jr.,4.32327993224014,4.65,794.5
4979,David Phelps,4.329644306608506,4.76,
4978,Kyle Crick,4.332172199671308,5.359999999999999,
4977,Yacksel Rios,4.332296509146958,6.12,
4976,Reyes Moronta,4.332418503522795,5.279999999999999,776.0
4975,Corey Knebel,4.337494060988703,5.01,831.5
4974,Rafael Montero,4.337669369607912,5.27,308.2
4973,DL Hall,4.339022264983011,5.1,438.5
4972,Lucas Sims,4.339171094788434,5.300000000000001,755.0
4971,Tyler Duffey,4.340219931741972,4.71,
4970,Matt Wisler,4.34294120207895,3.89,873.5
4969,Mark Melancon,4.34353500834504,4.61,468.6
4968,Jackson Stephens,4.345697783658439,4.66,
4967,Ross Detwiler,4.349480974401559,4.62,
4966,Jake Diekman,4.352953260092232,5.199999999999999,867.5
4965,A.J. Cole,4.353686892265901,3.71,
4868,A.J. Puk,4.360744455904337,4.88,410.8
