Name,Model_Projection_Sum_of_HR_R_RBI_SB,Position,Proj_Position_Rank
P.J. Higgins,107.1605442,C,67
Sandy Leon,102.3633493,C,68
Andrew Knapp,97.04307355,C,69
Austin Romine,92.8378239,C,70
Shohei Ohtani,539.5854176,DH,1
J.D. Martinez,434.8214256,DH,2
Nelson Cruz,387.4912573,DH,3
Franmil Reyes,345.3198319,DH,4
Yermin Mercedes,76.53940558,DH,5
Aaron Judge,436.0789676,OF,1
Juan Soto,433.8196376,OF,2
Bryce Harper,399.5158918,OF,3
Mookie Betts,395.1317438,OF,4
Kyle Tucker,388.4998352,OF,5
Bryan Reynolds,386.2488605,OF,6
Teoscar Hernandez,374.5867276,OF,7
Yordan Alvarez,368.9765352,OF,8
Randy Arozarena,368.3219553,OF,9
Kyle Schwarber,363.3637634,OF,10
Ian Happ,362.062265,OF,11
Nick Castellanos,361.338698,OF,12
Alex Verdugo,360.2939257,OF,13
Starling Marte,359.9440916,OF,14
Mark Canha,352.54824,OF,15
Brandon Nimmo,348.9296934,OF,16
Charlie Blackmon,346.1803148,OF,17
Christian Yelich,342.9571703,OF,18
Mike Yastrzemski,340.8282241,OF,19
Andrew McCutchen,340.4796475,OF,20
George Springer,338.6307344,OF,21
Adolis Garcia,338.3905759,OF,22
Mike Trout,337.6994735,OF,23
Jesse Winker,334.9447361,OF,24
Hunter Renfroe,331.8444082,OF,25
Randal Grichuk,329.0615647,OF,26
Anthony Santander,328.1069749,OF,27
Robbie Grossman,328.0359244,OF,28
Austin Hays,323.8299045,OF,29
David Peralta,322.2686622,OF,30
Joey Gallo,319.6023474,OF,31
Giancarlo Stanton,319.1089568,OF,32
Trent Grisham,318.2653249,OF,33
Tyler O'Neill,315.6252633,OF,34
Tommy Pham,315.6071723,OF,35
Jurickson Profar,314.1613356,OF,36
Dylan Carlson,310.9245754,OF,37
Joc Pederson,310.0913904,OF,38
Andrew Benintendi,308.671227,OF,39
Wil Myers,305.6174302,OF,40
Adam Duvall,299.213449,OF,41
Jorge Soler,294.026152,OF,42
Byron Buxton,293.3802952,OF,43
Raimel Tapia,293.2427512,OF,44
Max Kepler,292.7424114,OF,45
Luis Robert,291.4197362,OF,46
Michael Brantley,290.999613,OF,47
Myles Straw,288.9003989,OF,48
Avisail Garcia,287.4462687,OF,49
Marcell Ozuna,285.0963877,OF,50
Taylor Ward,283.2857246,OF,51
Cody Bellinger,281.4863316,OF,52
Tyler Naquin,280.5099946,OF,53
Mitch Haniger,280.2800731,OF,54
Manuel Margot,277.6821564,OF,55
Andrew Vaughn,277.2063786,OF,56
Eloy Jimenez,273.1950562,OF,57
Ben Gamel,273.1126615,OF,58
