,Name,Model_Projection_Fantasy_Points,Actual_Fantasy_Points,ADP
164,Matt Shoemaker,-122.67235166035908,-97.9,
165,Sean Manaea,-125.51333229694987,-94.89999999999998,288.0
166,Vince Velasquez,-126.70609458188372,-133.9,578.0
167,Chris Flexen,-126.72903292343966,-128.8,550.5
168,Zack Greinke,-126.88354545810432,-158.8,425.8
169,Brayan Bello,-127.52475268961882,-56.9,342.2
170,Aaron Sanchez,-127.7562639701886,-87.9,
171,Chase Anderson,-128.46161735046718,-100.0,
172,Steven Matz,-130.68295086993092,-104.0,362.7
173,Marco Gonzales,-130.7768986658518,-152.0,447.0
174,Eduardo Rodriguez,-131.335984800471,-80.80000000000001,369.8
175,Humberto Castellanos,-132.0065496492951,-75.9,
176,Ryan Feltner,-132.0226007535006,-117.9,844.0
177,Jakob Junis,-132.2418833356127,-104.80000000000001,564.0
178,Michael Pineda,-132.87707380746883,-91.80000000000001,784.5
179,Matt Moore,-133.4391187810425,-78.9,731.0
180,Dylan Bundy,-133.98878816835034,-164.89999999999998,586.0
181,Johan Oviedo,-134.2135393296904,-122.0,564.0
182,Anibal Sanchez,-135.58931535602915,-119.9,
183,Mitch White,-136.86279359023192,-99.8,828.5
184,Alex Faedo,-137.4612686708434,-65.8,
185,Mike Fiers,-137.69049687122634,-67.9,
186,Ryan Weathers,-137.8284158223709,-105.0,
187,Paolo Espino,-137.94319484096314,-140.8,879.0
188,Jose Berrios,-138.26153138949454,-98.0,213.6
189,Brett Anderson,-140.21207522600864,-107.0,
190,Yusei Kikuchi,-140.5811206794502,-135.89999999999998,424.8
191,Tyler Alexander,-141.4274825970639,-134.9,
192,Glenn Otto,-142.2529773975369,-142.0,556.0
193,Matt Manning,-142.82862872607183,-119.9,415.0
194,Martin Perez,-142.87023962310147,-128.89999999999998,288.4
195,Kolby Allard,-142.92461911306896,-145.9,
196,Taylor Hearn,-143.26628237908238,-122.0,
197,German Marquez,-143.46874968057207,-191.89999999999998,366.0
198,Drew Hutchison,-143.92013332665815,-98.8,763.5
199,Graham Ashcraft,-143.97523180912876,-97.0,484.5
200,Alec Mills,-144.12245276011598,-119.80000000000001,
201,Zach Thompson,-145.1218715110909,-125.0,999.5
202,Johnny Cueto,-145.93750961508493,-156.0,387.4
203,Wil Crowe,-146.47813042963057,-140.9,852.0
204,Dean Kremer,-147.08497611077593,-126.9,430.5
205,Jake Odorizzi,-147.47632929337712,-115.80000000000001,514.5
206,Chad Kuhl,-147.47632929337712,-115.80000000000001,"1,031.0"
207,John Gant,-149.70743897481827,-82.8,
208,Keegan Akin,-150.1360553630954,-123.8,760.0
209,Wade LeBlanc,-152.5867035478428,-82.8,
210,Bruce Zimmermann,-152.72355739322322,-154.9,
211,Carlos Hernandez,-152.98407290572874,-121.9,906.0
212,Adam Oller,-155.74267131528913,-109.0,
213,Josh Fleming,-155.75718427947422,-94.8,
214,Tucker Davidson,-156.04117027495914,-92.0,791.5
215,Cole Irvin,-156.0450961108008,-196.89999999999998,358.3
216,Ryan Yarbrough,-156.4941633815221,-152.0,709.5
217,Jon Heasley,-157.16095242138672,-136.8,
218,Garrett Richards,-158.58443444023203,-144.8,
219,Mike Foltynewicz,-160.69435872718324,-149.9,
220,Jason Alexander,-161.36815816095896,-67.0,
221,Dane Dunning,-162.32360899000048,-171.0,562.0
222,Trevor Williams,-162.38200795239203,-127.80000000000001,713.0
223,Jorge Lopez,-163.75205719689276,-202.8,251.0
224,Kyle Gibson,-164.57280488932403,-196.8,416.0
225,Josh Winckowski,-164.94476916792001,-88.9,
226,Rick Porcello,-166.66976645104495,-64.0,
227,Vladimir Gutierrez,-167.8993545715404,-154.0,
228,J.A. Happ,-169.03994346856905,-145.8,
229,Randy Dobnak,-170.58669597818994,-88.0,
230,Paul Blackburn,-173.73204383297707,-123.0,500.3
231,Spencer Howard,-176.35358888302972,-152.0,885.0
232,Kyle Hendricks,-180.53808732097517,-159.8,467.5
233,Kohei Arihara,-183.94560658001487,-119.8,
234,Mike Minor,-184.06598442890873,-244.89999999999998,
235,Daniel Lynch,-184.80234401132594,-208.8,542.5
236,Joan Adon,-184.88424779269786,-125.0,
237,Adrian Houser,-185.17799945285773,-202.0,676.0
238,Zach Davies,-187.11523831994282,-227.8,708.5
239,Mitch Keller,-187.95550621458327,-235.89999999999998,376.8
240,Spenser Watkins,-188.0630051908938,-156.0,
241,Bryse Wilson,-188.70769469551232,-201.9,746.5
242,Daniel Castano,-188.81154924404262,-82.9,
243,Justus Sheffield,-192.20622243313701,-140.0,
244,Carlos Martinez,-195.0452801708631,-163.9,
246,Chad Kuhl,-199.073179198763,-217.9,"1,031.0"
245,Jake Odorizzi,-199.073179198763,-217.9,514.5
247,JT Brubaker,-201.73180253784642,-212.8,434.5
248,Jon Lester,-205.2859650996942,-181.9,
249,Chi Chi Gonzalez,-210.48140810216145,-197.9,
250,Antonio Senzatela,-211.34818776451573,-276.9,
251,Brad Keller,-212.83945873228132,-253.8,773.5
252,Kris Bubic,-227.08876192702698,-267.8,654.5
253,Matt Harvey,-231.88301532358835,-213.0,
254,Kyle Freeland,-233.09566046271547,-260.0,533.0
255,Jose Urena,-237.93506099624324,-260.8,
256,Madison Bumgarner,-240.56437709711017,-282.8,512.5
257,Jake Arrieta,-243.6034002899258,-221.0,
258,Dallas Keuchel,-252.3025419538398,-317.9,
259,Erick Fedde,-253.54220360608258,-294.8,984.0
260,Jordan Lyles,-276.1650864992281,-339.8,490.5
261,Patrick Corbin,-379.6388286301006,-455.0,543.7
