Name,Position,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP,Position_Model_Proj_Scaled,Modej_Proj_Scaled,Position_Actuals_Scaled,Actuals_Scaled,OVR_Scaled_Score,Position_Batter_Ranking,Overall_Batter_Ranking
Rowdy Tellez,1B,333.1951394,325,139.2,0.493497342,0.559741791,0.485663082,0.455284553,0.061078809,20,115
Christian Vazquez,C,268.4,273,304.8,0.74689441,0.418726112,0.526315789,0.370731707,0.061023257,5,116
Jeff McNeil,2B,305.0606112,287,164.4,0.663461451,0.498511741,0.457466919,0.393495935,0.05953756,12,117
Jurickson Profar,OF,295.5584577,321,289.8,0.582651985,0.477831909,0.467013889,0.448780488,0.058350978,40,118
Elvis Andrus,SS,313.4030699,295,290.7,0.61936483,0.516667694,0.448214286,0.406504065,0.058305354,19,119
Luis Urias,3B,322.3165153,322,246.3,0.532531757,0.536066303,0.444078947,0.450406504,0.057099047,19,120
Patrick Wisdom,3B,329.5768024,313,415.3,0.552613147,0.551867092,0.429276316,0.435772358,0.057049562,17,121
Eric Hosmer,1B,347.5694839,297,421.3,0.539986392,0.591025125,0.435483871,0.409756098,0.05694902,16,122
Enrique Hernandez,2B,284.4742446,309,,0.585014946,0.453708991,0.49905482,0.429268293,0.056861906,19,123
Gary Sanchez,C,237.8,305,520,0.62810559,0.352130379,0.602870813,0.422764228,0.056371377,10,124
Jonathan India,2B,286.5098461,302,158.2,0.592771819,0.458139134,0.485822306,0.417886179,0.055134114,17,125
Ketel Marte,2B,291.8730587,294,168.9,0.613208902,0.46981126,0.470699433,0.404878049,0.054903468,13,126
Wil Myers,OF,294.2378979,314,248,0.578009698,0.474957933,0.454861111,0.437398374,0.054619314,41,127
Trey Mancini,1B,336.1306802,306,251.4,0.502991375,0.5661305,0.451612903,0.424390244,0.054576895,18,128
Josh Rojas,2B,286.8932987,299,221.8,0.594233005,0.458973653,0.480151229,0.41300813,0.05408554,16,129
Luis Robert,OF,286.2166454,321,,0.549811839,0.457501032,0.467013889,0.448780488,0.052719336,48,130
Brandon Belt,1B,357.0349886,277,308.4,0.570599428,0.611625197,0.399641577,0.377235772,0.052613868,14,131
Andres Gimenez,SS,321.4246133,272,77.1,0.647652426,0.534125229,0.407142857,0.369105691,0.051985551,16,132
Yoan Moncada,3B,315.1086263,316,259.8,0.512595297,0.52037955,0.434210526,0.440650407,0.051037496,21,133
Mitch Haniger,OF,279.9624604,326,177.7,0.527825917,0.443889854,0.475694444,0.456910569,0.050924317,55,134
Max Kepler,OF,285.9636666,315,307.7,0.548922519,0.456950466,0.456597222,0.43902439,0.050280789,49,135
Adam Frazier,2B,270.757322,311,446.4,0.532745178,0.423856425,0.502835539,0.432520325,0.049110096,21,136
Gio Urshela,3B,316.1273709,306,379.9,0.515413065,0.522596675,0.417763158,0.424390244,0.047754862,20,137
David Peralta,OF,291.354581,300,400.6,0.567873704,0.468682881,0.430555556,0.414634146,0.047514385,44,138
Cody Bellinger,OF,263.7900689,340,199,0.470973597,0.408693375,0.5,0.479674797,0.046164811,68,139
Dylan Carlson,OF,283.2037733,306,288,0.539220408,0.450944024,0.440972222,0.424390244,0.045505677,53,140
Jose Iglesias,SS,308.3914075,270,774.8,0.595123932,0.505760657,0.403571429,0.365853659,0.044440637,21,141
Jorge Soler,OF,285.8093233,299,270.4,0.548379941,0.456614564,0.428819444,0.41300813,0.044347015,50,142
Kris Bryant,3B,334.5675587,276,111.1,0.56641719,0.56272863,0.368421053,0.375609756,0.044107936,14,143
