,Name,Model_Projection_Sum_of_W_SV_HLD,Actual_Sum_of_W_SV_HLD,ADP,ADP
210,Ryan Feltner,10.648306965918533,4,"1,078.70",759.0
211,Mitch White,10.62652195985786,0,800.3,899.0
212,Keegan Thompson,10.619277370699335,6,510,573.0
213,Bruce Zimmermann,10.613216384127242,5,,
214,Anibal Sanchez,10.597656132091318,8,,
215,Adrian Martinez,10.584375477294104,4,734,841.0
216,Tyler Alexander,10.580687383721735,3,,
217,Josh Winder,10.563001821302066,4,740.5,703.0
218,Jaime Barria,10.53050872036992,3,,
219,Kutter Crawford,10.501766170220654,1,703.5,629.0
220,Touki Toussaint,10.49985994349496,3,985.7,
221,John Gant,10.492770455945418,5,,
222,JP Sears,10.484267116302266,5,512.3,538.0
223,Humberto Castellanos,10.472942645961304,5,,
224,Wil Crowe,10.471478121631245,4,"1,030.30",864.0
225,Wily Peralta,10.466317373970309,4,,
226,Reynaldo Lopez,10.465856449090971,3,358.3,434.0
227,Carlos Martinez,10.45886389831711,4,,
228,Kolby Allard,10.453429850296114,2,949.7,
229,Josh Winckowski,10.448879858365304,5,,
230,Nick Martinez,10.443586041477804,2,493.1,374.0
231,Johan Oviedo,10.4374170755126,2,827.5,627.0
232,Chase Anderson,10.42667551842188,4,,
233,Spencer Howard,10.37115503646787,3,875.3,920.0
234,Tyler Gilbert,10.365563225971798,2,,
235,Beau Brieske,10.360943811187624,3,756.3,770.0
236,Jason Alexander,10.296185269950122,2,,
237,Justin Dunn,10.296129014980217,6,"1,039.70",893.0
238,Joan Adon,10.282384723795404,1,,
239,Devin Smeltzer,10.277378918781528,4,,
240,Matt Shoemaker,10.274721792968913,2,,
241,Mike Fiers,10.274296843715208,6,,
242,Drew Hutchison,10.263577247378686,3,,
243,Carlos Hernandez,10.259958753070167,5,"1,030.30",898.0
244,Alex Faedo,10.25597975052187,1,,
245,Konnor Pilkington,10.246676106899642,1,749,880.0
246,Taylor Widener,10.241903609669297,2,,
247,Luis Patino,10.241785494777682,4,592.2,607.0
248,Chi Chi Gonzalez,10.238257681051099,2,,
249,Mike Foltynewicz,10.22129893942036,2,,
250,Jon Heasley,10.179194492074304,5,,
251,Daniel Castano,10.107573411319922,1,,
252,Ryan Weathers,10.102070663015127,2,863.3,
253,Chase De Jong,10.068963362686665,1,,
254,Griffin Jax,10.038989503201382,3,670.7,704.0
255,Tucker Davidson,9.982116887889495,2,969.7,754.0
256,Matt Moore,9.957715085803045,1,714.3,760.0
257,Kohei Arihara,9.870892022430425,3,,
258,Wade LeBlanc,9.853008055170552,1,,
259,Caleb Smith,9.791752668526545,1,,
260,Tanner Roark,9.736995413699784,2,,
261,Adam Oller,9.548702253183205,2,"1,050.70",
